school1,major_data,job,class1,class2,class3,class4,count_class,re_registration,nationality,inflow_route,whyBDA,what_to_gain,hope_for_group,previous_class_3,previous_class_4,previous_class_5,previous_class_6,previous_class_7,previous_class_8,previous_class_count,major_field,desired_career_path,completed_semester,project_type,time_input,desired_job,certificate_acquisition,desired_certificate,desired_job_except_data,incumbents_level,incumbents_lecture,incumbents_company_level,incumbents_lecture_type,incumbents_lecture_scale,incumbents_lecture_scale_reason,interested_company,expected_domain,contest_participation,onedayclass_topic,completed,major_type
40,False,대학생,5,,,,1,True,내국인,기존_학회원_또는_운영진,이전_기수에_매우_만족해서,데이터_분석_역량,네._온라인으로_참여하고_싶어요,,,,,,4,1,경영학,취업,8.0,팀,2.0,G._PM/서비스_기획자 I._마케터,없음,ADsP 빅데이터_분석_기사 정보처리기사 태블로_관련_자격증,B._기획_/_전략_/_경영_직무 C._MD F._PM_/_서비스_기획자 H._마케터_/_영업관리,주니어_(0~3년차),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),스타트업_C-level,온_오프라인_동시,100명_이상의_리스너와_10명_이상의_현직자,인원이_많을수록_관심_있는_분야에_대한_다른_사람들의_관점을_배우기_좋음,아이디어스,"C._제조업,_O._공공_행정,_국방_및_사회보장_행정",False,데이터_시각화_(Matplotlib__Seaborn_등) 웹_크롤링,0.0,False
27,True,대학생,5,,,,1,False,내국인,에브리타임,큰_규모인_만큼_커리큘럼이나_운영_등_관리가_잘_될것_같아서,프로젝트_경험,네._오프라인으로_참여하고_싶어요,,,,,,,0,경영학 경제통상학,취업,7.0,개인,2.0,B._데이터_분석가 C._데이터_사이언티스트,없음,ADsP SQLD,D._소프트웨어_개발자,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),해외_기업_(빅테크),온_오프라인_동시,100명_이상의_리스너와_10명_이상의_현직자,여러_현직자_중_본인_상황에_적합한_분을_선택하여_듣는_게_좋을_것_같아서,인바이테,"J._정보통신업,_M._전문,_과학_및_기술_서비스업",False,머신러닝_/_딥러닝_응용 SQL_응용,0.0,False
18,False,대학생,7,,,,1,True,내국인,기존_학회원_또는_운영진,이전_기수에_매우_만족해서,프로젝트_경험,아니요._개인적으로_학회_활동을_하고_싶어요,,,,,,2,1,사회과학,취업,7.0,개인,2.0,G._PM/서비스_기획자 I._마케터,SQLD 구글_애널리스트,ADsP 태블로_관련_자격증,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무 F._PM_/_서비스_기획자 H._마케터_/_영업관리,주니어_(0~3년차),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,,,C._제조업,False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 머신러닝_/_딥러닝_응용 SQL_응용 웹_크롤링,1.0,False
5,True,대학생,1,,,,1,False,내국인,에브리타임,큰_규모인_만큼_커리큘럼이나_운영_등_관리가_잘_될것_같아서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,공학_(컴퓨터_공학_제외),취업,2.0,팀,3.0,A._데이터_엔지니어 B._데이터_분석가 E._소프트웨어_개발자,없음,빅데이터_분석_기사,B._기획_/_전략_/_경영_직무 D._소프트웨어_개발자 H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_대기업_IT_계열_(금융__제조_...),오프라인,3~50명_내외의_강의_리스너와_1명의_현직자,듣는_인원이_적으면_부담스럽다,오뚜기,C._제조업,False,Python_응용,0.0,False
39,True,직장인,2,,,,1,False,내국인,인스타그램,시간적으로_부담이_없어서,데이터_분석_역량,아니요._개인적으로_학회_활동을_하고_싶어요,,,,,,,0,IT_(컴퓨터_공학_포함),취업,8.0,개인,2.0,A._데이터_엔지니어 B._데이터_분석가 C._데이터_사이언티스트 D._인공지능_전문가,ADsP,SQLD 빅데이터_분석_기사 정보처리기사 태블로_관련_자격증 구글_애널리스트,D._소프트웨어_개발자 F._PM_/_서비스_기획자,시니어_(10년차_~),산업_트렌드_(예시:_ChatGPT로_인한_직무_변화),해외_기업_(빅테크),온라인,3~50명_내외의_강의_리스너와_1명의_현직자,다양한_시각의_질문들이_나와_얻는_것들이_많다,넥슨_스마일게이트_넷마블_ea코리아_등_,"M._전문,_과학_및_기술_서비스업,_R._예술,_스포츠_및_여가관련_서비스업",False,SQL_응용,0.0,True
74,False,대학생,2,5.0,,,2,False,내국인,"대외활동_사이트(링커리어,_캠퍼스픽,_캠퍼즈,_위비티_등)",혼자_공부하기_어려워서,프로젝트_경험,네._온라인으로_참여하고_싶어요,,,,,,,0,사회과학 인문학,취업,7.0,팀,1.5,B._데이터_분석가 G._PM/서비스_기획자 I._마케터 J._MD,없음,ADsP SQLD 빅데이터_분석_기사,B._기획_/_전략_/_경영_직무 C._MD F._PM_/_서비스_기획자 H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),해외_기업_(빅테크),온_오프라인_동시,100명_이상의_리스너와_10명_이상의_현직자,내가_들을_수_있는_기회를_많이_제공받을_수_있을_거_같아서,토스_텐센트,"C._제조업,_J._정보통신업,_K._금융_및_보험업,_U._국제_및_외국기관",False,데이터_시각화_(Matplotlib__Seaborn_등) 웹_크롤링,0.0,False
10,False,대학생,8,,,,1,True,내국인,기존_학회원_또는_운영진,이전_기수에_매우_만족해서,공모전_경험,네._온라인으로_참여하고_싶어요,,,,4,6,7,3,자연과학,대학원_진학,10.0,팀,2.0,A._데이터_엔지니어 B._데이터_분석가 C._데이터_사이언티스트 D._인공지능_전문가 E._소프트웨어_개발자 H._자연과학계열_연구자,SQLD,ADsP 빅데이터_분석_기사 정보처리기사,G._자연과학계열_연구자,시니어_(10년차_~),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,적당하다고_생각하는_규모라서,쓰리빌리언_인실리코젠_쓰리빅스,"M._전문,_과학_및_기술_서비스업",False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 머신러닝_/_딥러닝_응용,1.0,True
31,True,대학생,4,6.0,12.0,,3,False,내국인,에브리타임,학회_가입_시_코딩_테스트_면접_등을_보지_않아서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,경영학,취업,8.0,팀,4.0,A._데이터_엔지니어 B._데이터_분석가,ADsP SQLD,정보처리기사,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무,시니어_(10년차_~),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,적당한_것_같습니다,토스_신한카드,"K._금융_및_보험업,_L._부동산업",False,Python_응용 머신러닝_/_딥러닝_응용,0.0,False
24,False,대학생,2,,,,1,False,내국인,에브리타임,큰_규모인_만큼_커리큘럼이나_운영_등_관리가_잘_될것_같아서,데이터_분석_역량,네._온라인으로_참여하고_싶어요,,,,,,,0,사회과학,취업,6.0,팀,3.0,I._마케터 J._MD,구글_애널리스트,SQLD 정보처리기사,B._기획_/_전략_/_경영_직무 H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),해외_기업_(빅테크),온_오프라인_동시,100명_이상의_리스너와_10명_이상의_현직자,다양한_시각을_같은_자리에서_들어보고_싶습니다._,구글,U._국제_및_외국기관,False,Python_응용 SQL_응용,1.0,True
54,True,대학생,4,5.0,,,2,True,내국인,기존_학회원_또는_운영진,이전_기수에_매우_만족해서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,1,1,IT_(컴퓨터_공학_포함),취업,5.0,팀,3.0,A._데이터_엔지니어 B._데이터_분석가 C._데이터_사이언티스트,없음,ADsP SQLD 빅데이터_분석_기사,B._기획_/_전략_/_경영_직무 H._마케터_/_영업관리,주니어_(0~3년차),산업_트렌드_(예시:_ChatGPT로_인한_직무_변화),해외_기업_(빅테크),온_오프라인_동시,10명_내외의_강의_리스너와_1명의_현직자,인원이_적어야_집중할_수_있어서,매일유업,"M._전문,_과학_및_기술_서비스업,_Q._보건업_및_사회복지_서비스업,_R._예술,_스포츠_및_여가관련_서비스업,_U._국제_및_외국기관",False,데이터_시각화_(Matplotlib__Seaborn_등),0.0,True
27,True,대학생,4,,,,1,False,내국인,지인_추천,혼자_공부하기_어려워서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,IT_(컴퓨터_공학_포함),창업,6.0,개인,2.0,D._인공지능_전문가 G._PM/서비스_기획자,정보처리기사,ADsP,D._소프트웨어_개발자,주니어_(0~3년차),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,10명_내외의_강의_리스너와_1명의_현직자,인원이_적은_것이_QnA_용이,토스,"M._전문,_과학_및_기술_서비스업,_P._교육_서비스업",False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 머신러닝_/_딥러닝_응용,0.0,False
17,True,대학생,2,4.0,6.0,,3,False,내국인,에브리타임,혼자_공부하기_어려워서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,IT_(컴퓨터_공학_포함),취업,4.0,팀,3.0,B._데이터_분석가,ADsP,SQLD 빅데이터_분석_기사 정보처리기사 사회조사분석사 sqlp_등,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무 C._MD,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,많은_인원이_수강하는_강의를_듣고_싶음._다양한_시각에서의_질문과_답변을_들을_수_있을_거_같아서,공기업_토스,J._정보통신업,False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 머신러닝_/_딥러닝_응용 SQL_응용 웹_크롤링,0.0,False
38,False,대학생,7,,,,1,False,내국인,에브리타임,학회_가입_시_코딩_테스트_면접_등을_보지_않아서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,IT_(컴퓨터_공학_포함),취업,6.0,개인,2.0,A._데이터_엔지니어,SQLD,ADsP 정보처리기사,A._금융_/_보험_직무,주니어_(0~3년차),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,적당한_인원이라고_생각합니다,토스,"J._정보통신업,_K._금융_및_보험업",False,웹_크롤링,1.0,False
5,False,대학생,4,5.0,,,2,False,내국인,에브리타임,BDA_학회원만의_혜택을_누리고_싶어서(현직자_강연_잡_페스티벌_기업연계_공모전_등),데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,인문학,취업,7.0,개인,2.0,B._데이터_분석가 G._PM/서비스_기획자 I._마케터,ADsP SQLD,빅데이터_분석_기사 정보처리기사 구글_애널리스트,F._PM_/_서비스_기획자,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,인원이_적어야_집중할_수_있어서,삼성,"J._정보통신업,_M._전문,_과학_및_기술_서비스업",False,데이터_시각화_(Matplotlib__Seaborn_등),1.0,True
22,False,대학생,1,2.0,,,2,False,내국인,에브리타임,학회_가입_시_코딩_테스트_면접_등을_보지_않아서,프로젝트_경험,네._오프라인으로_참여하고_싶어요,,,,,,,0,경제통상학,취업,8.0,개인,2.0,B._데이터_분석가 C._데이터_사이언티스트,없음,ADsP 빅데이터_분석_기사,B._기획_/_전략_/_경영_직무 C._MD D._소프트웨어_개발자 F._PM_/_서비스_기획자 H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,100명_이상의_리스너와_10명_이상의_현직자,여러_현직자분들을_뵙고싶음,자세히_생각해본적_없음,"J._정보통신업,_K._금융_및_보험업,_L._부동산업,_M._전문,_과학_및_기술_서비스업,_N._사업시설_관리,_사업_지원_및_임대_서비스업,_P._교육_서비스업,_R._예술,_스포츠_및_여가관련_서비스업",False,Python_응용 머신러닝_/_딥러닝_응용 SQL_응용,0.0,False
11,False,대학생,4,5.0,,,2,False,내국인,에브리타임,BDA_학회원만의_혜택을_누리고_싶어서(현직자_강연_잡_페스티벌_기업연계_공모전_등),데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,사회과학,취업,4.0,팀,4.0,C._데이터_사이언티스트,준비중:_SQLD,ADsP 빅데이터_분석_기사 정보처리기사,B._기획_/_전략_/_경영_직무 F._PM_/_서비스_기획자,시니어_(10년차_~),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,100명_이상의_리스너와_10명_이상의_현직자,규모가_큰_만큼_철저히_준비될_것_같아서,지파운데이션,"O._공공_행정,_국방_및_사회보장_행정,_Q._보건업_및_사회복지_서비스업",False,웹_크롤링,0.0,False
1,False,대학생,13,,,,1,False,,에브리타임,시간적으로_부담이_없어서,프로젝트_경험,네._온라인으로_참여하고_싶어요,,,,,,,0,공학_(컴퓨터_공학_제외) 경영학,취업,8.0,개인,3.0,B._데이터_분석가,SQLD,ADsP 빅데이터_분석_기사 태블로_관련_자격증 구글_애널리스트,A._금융_/_보험_직무 F._PM_/_서비스_기획자 H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),온라인,3~50명_내외의_강의_리스너와_1명의_현직자,온라인이라_많은_이용을_수강가능_할_수_있을_듯_하다,대기업_금융증권사_및_네카라쿠배당토,K._금융_및_보험업,False,SQL_응용,0.0,True
1,True,대학생,6,,,,1,False,내국인,인스타그램,BDA_학회원만의_혜택을_누리고_싶어서(현직자_강연_잡_페스티벌_기업연계_공모전_등),프로젝트_경험,네._온라인으로_참여하고_싶어요,,,,,,,0,사회과학,취업,6.0,팀,3.0,B._데이터_분석가,ADsP SQLD,빅데이터_분석_기사 정보처리기사,A._금융_/_보험_직무,주니어_(0~3년차),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,집중도_있는_네트워킹이_가능할_것_같아서,KB,K._금융_및_보험업,False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 머신러닝_/_딥러닝_응용,0.0,False
31,False,대학생,8,,,,1,False,내국인,인스타그램,혼자_공부하기_어려워서,프로젝트_경험,네._오프라인으로_참여하고_싶어요,,,,,,,0,경영학,취업,8.0,팀,5.0,B._데이터_분석가 G._PM/서비스_기획자 PO,ADsP,SQLD 빅데이터_분석_기사 정보처리기사,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무 F._PM_/_서비스_기획자 H._마케터_/_영업관리,주니어_(0~3년차),산업_트렌드_(예시:_ChatGPT로_인한_직무_변화),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,리스너가_너무_적으면_부담스러울_것_같고_너무_많으면_어수선할_것_같아서,네이버_포스코,J._정보통신업,False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 머신러닝_/_딥러닝_응용 SQL_응용 웹_크롤링,0.0,False
30,False,직장인,1,2.0,,,2,False,내국인,에브리타임,혼자_공부하기_어려워서,데이터_분석_역량,네._온라인으로_참여하고_싶어요,,,,,,,0,사회과학,이직,8.0,팀,1.0,B._데이터_분석가 I._마케터,SQLD 구글_애널리스트,빅데이터_분석_기사,B._기획_/_전략_/_경영_직무 H._마케터_/_영업관리,시니어_(10년차_~),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,10명_내외의_강의_리스너와_1명의_현직자,더_밀도_있는_정보_전달과_의견공유_위해,현대카드_/_29CM_/_올리브영,G._도매_및_소매업,False,SQL_응용,1.0,True
16,True,대학생,1,2.0,,,2,False,내국인,인스타그램,혼자_공부하기_어려워서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,자연과학,대학원_진학,6.0,팀,3.0,B._데이터_분석가 C._데이터_사이언티스트,ADsP,SQLD 빅데이터_분석_기사 태블로_관련_자격증,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무 F._PM_/_서비스_기획자 G._자연과학계열_연구자,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),오프라인,100명_이상의_리스너와_10명_이상의_현직자,다양한_분야의_현직자가_진로_결정에_더_도움이_될_것_같기_때문입니다.,LG,"J._정보통신업,_M._전문,_과학_및_기술_서비스업",False,데이터_시각화_(Matplotlib__Seaborn_등),1.0,True
65,False,대학생,2,,,,1,True,내국인,기존_학회원_또는_운영진,이전_기수에_매우_만족해서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,1,1,경영학,취업,6.0,팀,1.0,B._데이터_분석가,없음,태블로_관련_자격증,B._기획_/_전략_/_경영_직무 H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_대기업_IT_계열_(금융__제조_...),온라인,100명_이상의_리스너와_10명_이상의_현직자,여러_현직자를_만나뵙고_싶어서,RM,"R._예술,_스포츠_및_여가관련_서비스업,_U._국제_및_외국기관",False,Python_응용 SQL_응용,0.0,True
3,False,대학생,6,,,,1,False,내국인,지인_추천,시간적으로_부담이_없어서,공모전_경험,네._온라인으로_참여하고_싶어요,,,,,,,0,예체능,대학원_진학,6.0,개인,4.0,B._데이터_분석가 C._데이터_사이언티스트,준비중:_SQLD,ADsP SQLD,H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),온라인,100명_이상의_리스너와_10명_이상의_현직자,인원이_많을수록_다양한_의견과_질문이_나올_것_같다,Bepro11,"R._예술,_스포츠_및_여가관련_서비스업",False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 웹_크롤링,0.0,False
